Date,Revenue,Expenses,Category
2024-01-01,12500,8200,Product Sales
2024-01-15,9800,6500,Services
2024-02-01,15200,9100,Product Sales
2024-02-15,11000,7300,Services
2024-03-01,18500,10200,Product Sales
2024-03-15,13200,8800,Services
2024-04-01,16800,9500,Product Sales
2024-04-15,14500,9200,Services
2024-05-01,21000,11800,Product Sales
2024-05-15,16200,10500,Services
2024-06-01,19500,10900,Product Sales
2024-06-15,17800,11200,Services
2024-07-01,23500,12500,Product Sales
2024-07-15,18900,11800,Services
2024-08-01,25200,13200,Product Sales
2024-08-15,20100,12600,Services
2024-09-01,22800,12900,Product Sales
2024-09-15,19500,11500,Services
2024-10-01,27500,14200,Product Sales
2024-10-15,21800,13100,Services
2024-11-01,31000,15800,Product Sales
2024-11-15,24500,14200,Services
2024-12-01,35200,17500,Product Sales
2024-12-15,28900,16200,Services
